Time,Android_7,Android_10,Android_11,Android_12,Android_13,Android_14,Android_15,iOS_16.7,iOS_17.4,iOS_17.5,iOS_17.6,iOS_18.3,Windows_10
6/3/2025 13:00,8998,97551,10489,7463,8794,13045,3615,3676,197,2052,2945,28839,2111
6/3/2025 14:00,9526,87876,10139,7851,6925,13377,4794,4484,874,2262,3625,29797,2985
6/3/2025 15:00,7765,75853,9344,6915,6478,12899,3570,3095,787,1665,2168,28440,1904
6/3/2025 16:00,6525,59349,7495,5036,3642,9115,2186,3131,749,1754,2069,18184,1447
6/3/2025 17:00,3594,37396,6216,3186,1862,6608,2421,2177,592,525,1345,10834,849
6/3/2025 18:00,3570,31453,7082,2978,2030,3374,1835,620,573,1016,1380,7505,353
6/3/2025 19:00,3287,29447,5192,3807,2070,3103,997,1599,154,394,518,5698,156
6/3/2025 20:00,2822,24284,5018,2643,1784,3306,401,1425,2,419,346,4056,362
6/3/2025 21:00,2849,23028,5766,2025,963,5424,1050,359,140,562,166,3963,259
