Time,Total Request,Access By Website ,Access By Mobile Application
6/3/2025 13:00," 287,260 "," 235,714 "," 51,546 "
6/3/2025 14:00," 274,402 "," 226,742 "," 47,660 "
6/3/2025 15:00," 236,697 "," 198,449 "," 38,248 "
6/3/2025 16:00," 178,704 "," 152,911 "," 25,793 "
6/3/2025 17:00," 109,219 "," 95,771 "," 13,448 "
6/3/2025 18:00," 91,184 "," 80,044 "," 11,140 "
6/3/2025 19:00," 83,366 "," 73,060 "," 10,306 "
6/3/2025 20:00," 70,453 "," 60,937 "," 9,516 "
6/3/2025 21:00," 69,091 "," 58,707 "," 10,384 "
