Category,Yesterday,Last Week,Last Months
/api/mobile/v1/branch," 29,868 "," 190,512 "," 619,200 "
/api/mobile/v1/inquery," 70,032 "," 468,552 "," 1,460,520 "
/api/mobile/v1/member/notification," 34,668 "," 217,308 "," 722,520 "
/api/mobile/v1/member/register," 1,836 "," 16,464 "," 58,680 "
/api/mobile/v1/payment/code," 2,988 "," 15,876 "," 49,320 "
/api/mobile/v1/sms/otp," 2,640 "," 21,588 "," 61,560 "
/api/mobile/v1/statement/detail, 780 ," 5,292 "," 27,360 "
/api/mobile/v1/token/refresh," 25,440 "," 164,724 "," 526,680 "
/api/mobile/v1/version," 25,644 "," 169,764 "," 566,280 "
