Category,Yesterday,Last Week,Last Months
/api/mobile/v1/branch,0.01,0.03,0.20
/api/mobile/v1/inquery,0.00,0.02,0.04
/api/mobile/v1/member/notification,0.00,0.01,0.10
/api/mobile/v1/member/register,0.00,0.01,0.03
/api/mobile/v1/payment/code,0.01,0.04,0.15
/api/mobile/v1/sms/otp,0.01,0.03,0.15
/api/mobile/v1/statement/detail,0.00,0.02,0.09
/api/mobile/v1/token/refresh,0.00,0.05,0.03
/api/mobile/v1/version,0.00,0.07,0.08
